"Student ID","First Name","Last Name","Middle Name",Year,Enrollment,"User Name",Password
2024004,Mark,Cruz,L,"1st Year",enrolled,2024004,Cruz
2024005,Anna,Santos,C,"2nd Year",enrolled,2024005,Santos
2024006,James, Reyes,M,"3rd Year",enrolled,2024006,Reyes
2024007, Maria, Lopez,J,"1st Year",enrolled,2024007,Lopez
2024008,Daniel, Bautista,P,"4th Year",enrolled,2024008,Bautista
2024009,Sarah, Morales,R,"2nd Year",enrolled,2024009,Morales
2024010,Michael, Rivera,K,"3rd Year",unenrolled,2024010,Rivera
2024011,Emma, Gonzales,D,"1st Year",enrolled,2024011,Gonzales
2024012,David, Villanueva,S,"2nd Year",enrolled,2024012,Villanueva
2024013,Sofia, Hernandez,T,"4th Year",enrolled,2024013,Hernandez
2024014,Joseph, Aquino,F,"3rd Year",enrolled,2024014,Aquino
2024015, Olivia, Castillo,G,"2nd Year",enrolled,2024015,Castillo
2024016,Andrew, Dela Cruz,H,"1st Year",enrolled,2024016,Dela Cruz
2024017,Isabella, Ramos,N,"4th Year",unenrolled,2024017,Ramos
2024018,Christopher, Navarro,E,"3rd Year",enrolled,2024018,Navarro
2024019,Ava, Fernandez,B,"2nd Year",enrolled,2024019,Fernandez
2024020,Ethan, Mendoza,Q,"1st Year",enrolled,2024020,Mendoza
2024021,Charlotte, Perez,V,"3rd Year",enrolled,2024021,Perez
2024022,Alexander, Garcia,X,"4th Year",enrolled,2024022,Garcia
2024023,Amelia, Torres,Y,"2nd Year",enrolled,2024023,Torres
